Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (umhos/cm)-Minimum,CONDUCTIVITY (umhos/cm)-Maximum,CONDUCTIVITY (umhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean,WaterQualityCategory_encoded
1001,WATER QUALITY OF RIVER- BEAS,BEAS AT UPSTREAM MANALI,HIMACHAL PRADESH,2.5,14.0,9.0,8.4,10.3,9.0,7.2,8.0,8.0,68.0,101.0,85.0,0.1,0.3,0.1,0.06,0.42,0.2,0.0,920.0,106.0,11.0,2400.0,397.0,0.4,0.5696,0.51,12
1002,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM KULU,HIMACHAL PRADESH,5.6,14.0,10.0,8.0,10.2,9.0,7.1,8.3,8.0,69.0,165.0,102.0,0.2,0.4,0.3,0.04,0.89,0.4,33.0,350.0,153.0,160.0,2400.0,954.0,0.4,0.5696,0.51,12
1003,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM AUT,HIMACHAL PRADESH,5.0,14.1,11.0,8.2,10.5,9.0,7.3,8.5,8.0,65.0,178.0,96.0,0.1,0.5,0.2,0.04,0.64,0.3,2.0,140.0,58.0,27.0,2400.0,653.0,0.4,0.5696,0.51,12
1004,WATER QUALITY OF RIVER- BEAS,BEAS AT UPSTREAM PANDON DAM,HIMACHAL PRADESH,5.5,18.0,13.0,8.1,10.6,9.0,7.0,8.2,8.0,56.0,130.0,94.0,0.1,0.2,0.2,0.24,0.71,0.4,7.0,79.0,34.0,34.0,920.0,317.0,0.4,0.5696,0.51,12
1005,WATER QUALITY OF RIVER- BEAS,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,5.0,21.0,14.0,7.9,12.0,10.0,7.3,8.4,8.0,56.0,227.0,112.0,0.1,0.4,0.2,0.08,0.69,0.5,23.0,920.0,213.0,160.0,2400.0,1072.0,0.4,0.5696,0.51,12
1550,WATER QUALITY OF RIVER- BEAS,UPSTREAM MANDI,HIMACHAL PRADESH,6.0,20.0,16.0,7.1,11.1,9.0,7.2,8.7,8.0,66.0,164.0,117.0,0.1,0.4,0.2,0.01,1.39,0.5,17.0,350.0,100.0,220.0,2400.0,722.0,0.4,0.5696,0.51,12
1006,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM MANDI,HIMACHAL PRADESH,6.5,21.0,16.0,7.8,10.3,9.0,7.4,8.4,8.0,86.0,220.0,155.0,0.2,0.6,0.5,0.08,1.53,0.7,27.0,920.0,445.0,540.0,2400.0,1855.0,0.4,0.5696,0.51,12
2604,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM JAISINGHPUR,HIMACHAL PRADESH,8.9,22.0,19.0,7.8,9.0,8.0,7.5,8.7,8.0,97.0,361.0,211.0,0.2,0.8,0.5,0.15,1.46,0.5,4.0,11.0,7.0,22.0,170.0,72.0,0.4,0.5696,0.51,12
1007,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM ALAMPUR,HIMACHAL PRADESH,20.0,22.0,19.0,8.3,9.1,8.0,8.2,8.9,8.0,130.0,356.0,202.0,1.0,1.0,0.6,0.1,1.18,0.4,6.0,14.0,9.0,94.0,280.0,123.0,0.4,0.5696,0.51,12
1008,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM DEHRAGOPIPUR,HIMACHAL PRADESH,9.0,24.0,19.0,7.5,9.6,8.0,7.1,8.4,8.0,124.0,638.0,280.0,0.1,1.1,0.7,0.0,7.07,1.1,0.0,21.0,10.0,12.0,540.0,157.0,0.4,0.5696,0.51,12
1009,WATER QUALITY OF RIVER- BEAS,BEAS AT DOWNSTREAM PONG DAM,HIMACHAL PRADESH,14.0,23.0,20.0,5.0,9.9,8.0,7.6,8.3,8.0,141.0,254.0,177.0,0.1,1.1,0.5,0.04,0.61,0.4,2.0,14.0,7.0,8.0,140.0,92.0,0.4,0.5696,0.51,12
1693,WATER QUALITY OF RIVER- BEAS,BEAS AT TALWARA H/W,PUNJAB,12.0,16.0,15.0,7.4,8.0,8.0,7.2,7.8,8.0,280.0,290.0,285.0,0.2,0.4,0.0,0.6,1.0,0.8,0.0,11.0,3.0,50.0,50.0,50.0,0.4,0.5696,0.51,12
1694,WATER QUALITY OF RIVER- BEAS,UPSTREAM PATHANKOT,PUNJAB,18.0,18.0,18.0,6.6,7.8,7.0,7.3,7.9,8.0,310.0,322.0,316.0,0.8,1.2,1.0,1.0,2.2,1.6,90.0,100.0,95.0,500.0,500.0,500.0,0.4,0.5696,0.51,12
1695,WATER QUALITY OF RIVER- BEAS,UPSTREAM PATHANKOT,PUNJAB,10.0,18.0,15.0,6.8,7.6,7.0,6.8,7.5,7.0,303.0,366.0,334.0,0.9,1.5,1.0,1.0,2.6,2.0,110.0,300.0,158.0,500.0,900.0,600.0,0.4,0.5696,0.51,12
1010,WATER QUALITY OF RIVER- BEAS,BEAS AT MIRTHAL BRIDGE- GURDASPUR,PUNJAB,13.0,17.0,15.0,7.2,8.8,8.0,7.2,8.0,8.0,74.0,303.0,177.0,0.2,0.8,0.5,0.04,1.4,0.6,11.0,110.0,66.0,170.0,1600.0,662.0,0.4,0.5696,0.51,12
1294,WATER QUALITY OF RIVER- BEAS,BEAS AT 1KM.DOWNSTREAM OF EFFL. DISH. POINT AT MUKERIAN,PUNJAB,9.0,19.0,14.0,6.7,7.6,7.0,6.5,7.8,7.0,286.0,366.0,334.0,0.4,1.2,1.0,0.0,1.8,1.0,110.0,500.0,370.0,50.0,1100.0,738.0,0.4,0.5696,0.51,12
1011,WATER QUALITY OF RIVER- BEAS,BEAS AT G.T.ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,8.0,19.0,14.0,7.2,7.4,7.0,7.2,7.6,7.0,303.0,327.0,317.0,0.7,1.0,0.8,1.4,2.2,1.8,90.0,200.0,133.0,500.0,700.0,567.0,0.4,0.5696,0.51,12
1696,WATER QUALITY OF RIVER- BEAS,UPSTREAM GOINDWAL,PUNJAB,9.0,19.0,16.0,6.4,7.2,7.0,6.9,7.6,7.0,298.0,319.0,310.0,0.4,1.0,1.0,1.4,1.8,2.0,90.0,300.0,180.0,500.0,900.0,650.0,0.4,0.5696,0.51,12
1012,WATER QUALITY OF RIVER- BEAS,BEAS AT 100M DOWNSTREAM INDUST. DISCH. GOINDWAL,PUNJAB,10.0,21.0,17.0,6.0,7.2,7.0,7.2,7.7,7.0,312.0,327.0,320.0,0.2,1.2,0.7,1.4,2.6,1.8,110.0,300.0,185.0,500.0,1000.0,725.0,0.4,0.5696,0.51,12
1697,WATER QUALITY OF RIVER- BEAS,BEAS AT HARIKE,PUNJAB,10.0,20.0,16.0,6.6,7.2,7.0,7.2,7.7,8.0,300.0,312.0,304.0,0.6,0.8,1.0,1.0,2.2,1.5,90.0,220.0,130.0,500.0,700.0,550.0,0.4,0.5696,0.51,12
